cust_id,first_name,last_name,gender,phone,address,city,state,date_created,CustomerAge,ticket_id,ticket_no,cost,trip_id,trip_no,depart_datetime,station_id_depart,arrive_datetime,station_id_arrive,train_name,train_id,class_id,class_name
1,Merri,Waelchi,f,1-229-325-2871,9429 Sol Oval,North Valburgh,Rhode Island,2022-05-20 17:33,17,1,e8mjkptzvc,8,1,5231555168,2020-06-30 4:09,Goyetteview,2020-06-30 22:09,North Slyvia,Plato,1,2,Silver
1,Merri,Waelchi,f,1-229-325-2871,9429 Sol Oval,North Valburgh,Rhode Island,2022-05-20 17:33,17,2,3uvn6b597f,32,2,1200038621,2021-09-27 4:31,Lake Caseyfurt,2021-09-27 16:31,West Grady,Plato,1,1,Bronze
2,Kathe,Block,f,(491) 002-0106,1251 Von Centers,Port Marinda,Nebraska,2022-05-20 17:33,61,3,6u5bx0eelr,41,3,6176412964,2021-12-30 12:02,West Rosaliamouth,2021-12-31 5:02,Littleshire,Plutarch,2,1,Bronze
2,Kathe,Block,f,(491) 002-0106,1251 Von Centers,Port Marinda,Nebraska,2022-05-20 17:33,61,4,0qpwnevvpy,5,4,7321290900,2020-02-21 20:12,Harrisborough,2020-02-22 11:12,New Cecile,Plutarch,2,3,Gold
3,Titus,Stamm,f,891-423-1722,90661 Theodore Junctions,Frederickburgh,Massachusetts,2022-05-20 17:33,63,5,paxc3vajcq,94,5,3875280652,2020-03-06 1:09,Fredrickmouth,2020-03-06 11:09,Shanitastad,Heraclitus,3,3,Gold
4,Ona,Dicki,m,1-584-701-3504,595 Hegmann Viaduct,Hymanfurt,Mississippi,2022-05-20 17:33,33,6,uf03xtphx6,76,6,7350623081,2021-03-22 4:52,West Arthur,2021-03-22 23:52,Jinastad,Chrysippus,4,1,Bronze
5,Teodoro,Cummerata,f,510.062.2724,592 Blanch Extensions,Port Carmachester,Massachusetts,2022-05-20 17:33,85,7,ey0if12gst,43,7,7299967511,2020-05-19 11:07,Schillerberg,2020-05-19 23:07,Port Lala,Solon,5,1,Bronze
5,Teodoro,Cummerata,f,510.062.2724,592 Blanch Extensions,Port Carmachester,Massachusetts,2022-05-20 17:33,85,8,8fk5yiahuz,47,8,1514262887,2020-02-12 10:03,Torietown,2020-02-13 2:03,Hicklemouth,Solon,5,1,Bronze
6,Wade,Williamson,m,(160) 521-1386,220 Sade Streets,Lake Jarredville,Mississippi,2022-05-20 17:33,7,9,x6pmwuyn4z,26,9,3504325289,2021-11-27 5:51,Windlerton,2021-11-28 3:51,Townestad,Plutarch,2,2,Silver
7,Vonda,Kris,f,(100) 230-4885,6794 Barrows Bridge,Beckieport,Wisconsin,2022-05-20 17:33,8,10,yvhkaucuz7,13,10,2684343379,2020-01-07 6:09,West Herbmouth,2020-01-08 6:09,Port Isaias,Chrysippus,4,1,Bronze
7,Vonda,Kris,f,(100) 230-4885,6794 Barrows Bridge,Beckieport,Wisconsin,2022-05-20 17:33,8,11,4s0qvgf6mq,32,11,2612193860,2020-05-20 22:28,New Danyell,2020-05-21 21:28,South Thurman,Chrysippus,4,1,Bronze
8,Blaine,Pouros,f,665-629-3562,7157 Herzog Green,West Necole,Rhode Island,2022-05-20 17:33,59,12,vewnsorgo9,61,12,8592679724,2022-05-06 9:31,Conniestad,2022-05-06 10:31,North Brain,Epicurus,6,1,Bronze
9,Cherise,Rempel,f,1-825-329-8895,4021 Carri Wall,Bednarville,Oklahoma,2022-05-20 17:33,77,13,cafmow232k,61,13,1520695068,2020-10-28 19:13,New Joleneburgh,2020-10-29 7:13,Lake Adolphhaven,Plato,1,2,Silver
10,Benton,Wiza,f,1-720-114-5747,3955 Buddy Isle,Schoenchester,Montana,2022-05-20 17:33,63,14,0pbxd5idan,95,14,7218128470,2020-05-15 12:39,Wolfland,2020-05-16 6:39,New Deangelomouth,Heraclitus,3,2,Silver
11,Jerold,Murphy,m,(500) 333-4035,873 Huel Club,South Darellborough,Washington,2022-05-20 17:33,47,15,4wdal2axn4,26,15,1520731716,2020-11-23 15:38,West Lonimouth,2020-11-24 8:38,East Rolfside,Galen,7,3,Gold
11,Jerold,Murphy,m,(500) 333-4035,873 Huel Club,South Darellborough,Washington,2022-05-20 17:33,47,16,csjec0v5yp,52,16,1562551244,2021-05-06 9:23,Port Dustinborough,2021-05-06 16:23,Alexandrahaven,Galen,7,1,Bronze
12,Alecia,Borer,m,350.404.7814,8940 Bridgett Place,South Tabitha,Georgia,2022-05-20 17:33,83,17,pyjy6p0bsr,22,17,4283056580,2021-01-21 0:41,Lake Travis,2021-01-21 4:41,Lake Carrolmouth,Antisthenes,8,3,Gold
12,Alecia,Borer,m,350.404.7814,8940 Bridgett Place,South Tabitha,Georgia,2022-05-20 17:33,83,18,tpcdk8jq6a,42,18,1983531353,2020-08-16 14:53,Nienowborough,2020-08-17 8:53,East Benito,Antisthenes,8,1,Bronze
13,Bobbi,Hartmann,m,1-934-669-1226,72967 Richie Prairie,Hagenesmouth,Virginia,2022-05-20 17:33,29,19,enjkeblsg0,56,19,8104098870,2020-11-03 8:41,Hackettchester,2020-11-03 9:41,East Kelly,Parmenides,9,1,Bronze
14,Jennie,Luettgen,f,625.115.4095,67991 Hills Station,North Willie,Indiana,2022-05-20 17:33,86,20,tzdcfomqfy,5,20,1073714134,2020-12-01 22:08,Deweyshire,2020-12-02 16:08,Margaritefort,Aristotle,10,3,Gold
15,Jamar,Brown,m,1-442-225-2973,59213 Torri Harbor,North Daraland,Washington,2022-05-20 17:33,11,21,sltqzkt1ld,84,21,6548562368,2021-12-07 9:59,North Donte,2021-12-07 22:59,South Kasey,Chrysippus,4,3,Gold
16,Bethel,Schamberger,f,952.457.2603,98809 Lueilwitz Village,East Imogene,Pennsylvania,2022-05-20 17:33,9,22,qrs3kzulms,56,22,6730355714,2021-11-13 4:19,Port Ericfort,2021-11-13 5:19,North Lou,Plato,1,3,Gold
